"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M15,M6,M7,M11,M12,M9,M19,M5,M1,M14,M8,M16,M13,M4,M3,M2,M10,M17,M18";"CUSP-T80-15-2400-TH";19;"Ultrasonic_Transducer";;;
2;"J5,J6,J2,J1,J3,J4";"JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical";6;"JST SH BM02B Connector";;;
3;"C2,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
4;"TP1,TP2,TP3";"TestPoint_Keystone_5000-5004_Miniature";3;"TestPoint";;;
5;"R2,R4,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
6;"JP3,JP2";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels";2;"Jumper_3_Open";;;
7;"U1";"LTC2631-Z";1;"LTC2631-Z";;;
8;"C12,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1nF";;;
9;"C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
10;"OP1";"SOT-23-5_HandSoldering";1;"ADA4622-1";;;
11;"C6,C10,C8,C11,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
12;"R8,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"15k";;;
13;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"82nF";;;
14;"C1";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"22uF";;;
15;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
16;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"91k";;;
17;"U2";"SOT-23-5_HandSoldering";1;"LM2735XMF";;;
18;"J7";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
19;"L1";"L_Wuerth_5030_Handsolder";1;"10uH";;;
20;"D1";"D_SMB_Handsoldering";1;"SSB44";;;
21;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"470pF";;;
22;"R5,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.5k";;;
